filename,x1,y1,x2,y2,x3,y3
__junkpleaseignore__junkpleaseignore__junkpleaseignore,0.0,0.0,0.0,0.0,0.0,0.0
DATASET1_6_7000_00059.png,0.0,0.0,534.0,479.0,283.0,178.0
DATASET1_6_4500_00098.png,0.0,0.0,325.0,574.0,494.0,223.0
DATASET1_2_13000_00035.png,0.0,0.0,554.0,470.0,268.0,237.0
DATASET1_5_11500_00106.png,0.0,0.0,258.0,568.0,277.0,195.0
DATASET1_3_13000_00072.png,0.0,0.0,222.0,542.0,556.0,352.0
DATASET1_1_5500_00046.png,0.0,0.0,481.0,506.0,135.0,354.0
DATASET1_1_7000_00034.png,0.0,0.0,181.0,541.0,432.0,261.0
DATASET1_7_5000_00064.png,0.0,0.0,527.0,439.0,165.0,404.0
DATASET1_4_7500_00057.png,390.0,596.0,506.0,295.0,190.0,351.0
DATASET1_1_13000_00072.png,0.0,0.0,368.0,584.0,216.0,242.0
DATASET1_7_13000_00056.png,0.0,0.0,250.0,548.0,473.0,262.0
DATASET1_5_11500_00084.png,0.0,0.0,95.0,438.0,470.0,411.0
DATASET1_1_8500_00029.png,0.0,0.0,287.0,584.0,317.0,208.0
DATASET1_5_8500_00023.png,0.0,0.0,157.0,491.0,503.0,376.0
DATASET1_4_7000_00090.png,278.0,565.0,571.0,443.0,315.0,245.0
DATASET1_4_12500_00063.png,290.0,585.0,584.0,454.0,321.0,264.0
DATASET1_8_9000_00037.png,348.0,528.0,549.0,265.0,220.0,221.0
DATASET1_2_5500_00065.png,0.0,0.0,547.0,491.0,271.0,236.0
DATASET1_7_5500_00094.png,0.0,0.0,421.0,535.0,267.0,204.0
DATASET1_8_10000_00089.png,561.0,455.0,399.0,162.0,235.0,454.0
DATASET1_5_12500_00046.png,0.0,0.0,455.0,491.0,103.0,364.0
DATASET1_2_10000_00048.png,0.0,0.0,583.0,396.0,227.0,280.0
DATASET1_3_10000_00059.png,0.0,0.0,387.0,600.0,386.0,212.0
DATASET1_3_7000_00020.png,0.0,0.0,531.0,520.0,175.0,369.0
DATASET1_6_10000_00012.png,0.0,0.0,558.0,404.0,268.0,144.0
DATASET1_4_10000_00016.png,480.0,597.0,475.0,275.0,201.0,442.0
DATASET1_4_10000_00070.png,377.0,601.0,538.0,320.0,218.0,322.0
DATASET1_5_11500_00018.png,0.0,0.0,353.0,571.0,176.0,236.0
DATASET1_5_14000_00073.png,0.0,0.0,471.0,417.0,92.0,408.0
DATASET1_8_11500_00070.png,500.0,491.0,429.0,163.0,184.0,386.0
DATASET1_1_8500_00063.png,0.0,0.0,467.0,498.0,129.0,322.0
DATASET1_2_13000_00003.png,0.0,0.0,588.0,396.0,230.0,282.0
DATASET1_5_5040_00027.png,0.0,0.0,359.0,578.0,324.0,221.0
DATASET1_3_14500_00032.png,0.0,0.0,458.0,528.0,283.0,183.0
DATASET1_8_8500_00031.png,452.0,510.0,476.0,174.0,176.0,329.0
DATASET1_8_13000_00025.png,292.0,513.0,582.0,352.0,288.0,182.0
DATASET1_7_11500_00050.png,0.0,0.0,509.0,485.0,165.0,349.0
DATASET1_7_8000_00008.png,0.0,0.0,354.0,552.0,380.0,188.0
DATASET1_7_7500_00049.png,0.0,0.0,202.0,490.0,535.0,332.0
DATASET1_6_15000_00042.png,0.0,0.0,206.0,442.0,594.0,356.0
DATASET1_8_14000_00071.png,295.0,519.0,572.0,333.0,268.0,187.0
DATASET1_1_7500_00059.png,0.0,0.0,492.0,472.0,127.0,383.0
DATASET1_4_11500_00008.png,524.0,574.0,418.0,269.0,210.0,513.0
DATASET1_3_11500_00032.png,0.0,0.0,416.0,592.0,374.0,205.0
DATASET1_1_9000_00006.png,0.0,0.0,209.0,552.0,431.0,248.0
DATASET1_8_14500_00086.png,265.0,502.0,579.0,386.0,309.0,174.0
DATASET1_8_8000_00086.png,266.0,488.0,586.0,399.0,336.0,166.0
DATASET1_2_6500_00096.png,0.0,0.0,430.0,568.0,357.0,199.0
DATASET1_2_11000_00014.png,0.0,0.0,468.0,554.0,340.0,204.0
DATASET1_8_10000_00003.png,294.0,513.0,590.0,364.0,302.0,184.0
DATASET1_1_5000_00073.png,0.0,0.0,413.0,572.0,206.0,259.0
DATASET1_2_7500_00054.png,0.0,0.0,565.0,440.0,232.0,260.0
DATASET1_7_8500_00097.png,0.0,0.0,173.0,462.0,531.0,380.0
DATASET1_4_12500_00023.png,404.0,620.0,494.0,310.0,185.0,384.0
DATASET1_6_14000_00067.png,0.0,0.0,582.0,374.0,204.0,264.0
DATASET1_5_13500_00018.png,0.0,0.0,124.0,482.0,457.0,292.0
DATASET1_3_8000_00081.png,0.0,0.0,469.0,575.0,201.0,295.0
DATASET1_5_12000_00037.png,0.0,0.0,136.0,517.0,444.0,301.0
DATASET1_5_11000_00020.png,0.0,0.0,498.0,488.0,158.0,338.0
DATASET1_6_4500_00007.png,0.0,0.0,380.0,603.0,452.0,218.0
DATASET1_3_9000_00056.png,0.0,0.0,231.0,553.0,523.0,297.0
DATASET1_2_9000_00010.png,0.0,0.0,563.0,464.0,258.0,247.0
DATASET1_5_10000_00078.png,0.0,0.0,323.0,569.0,340.0,205.0
DATASET1_2_15000_00006.png,0.0,0.0,252.0,478.0,519.0,213.0
DATASET1_5_6000_00037.png,0.0,0.0,510.0,468.0,161.0,365.0
DATASET1_1_7500_00051.png,0.0,0.0,133.0,447.0,502.0,382.0
DATASET1_8_9500_00059.png,293.0,517.0,567.0,325.0,257.0,186.0
DATASET1_2_7500_00035.png,0.0,0.0,394.0,574.0,360.0,204.0
DATASET1_3_12500_00086.png,0.0,0.0,473.0,553.0,251.0,232.0
